Dystans do przejscia: 50, dlugosc kroku: 1
635: (x,y) = (43.7594, -0.0152551)
636: (x,y) = (43.4672, 0.0164257)
637: (x,y) = (44.0937, -0.0133172)
638: (x,y) = (44.3347, -0.0171713)
639: (x,y) = (45.2844, 0.00516718)
640: (x,y) = (45.6924, 0.0160241)
641: (x,y) = (45.3583, -0.0161705)
642: (x,y) = (45.8377, 0.0150346)
643: (x,y) = (46.2538, 0.0161329)
644: (x,y) = (46.1435, -0.0170651)
645: (x,y) = (46.1125, 0.0171471)
646: (x,y) = (45.3586, 0.0117655)
647: (x,y) = (46.3361, -0.00347348)
648: (x,y) = (47.1128, -0.0110542)
649: (x,y) = (47.7731, -0.0133001)
650: (x,y) = (48.0568, -0.0169685)
651: (x,y) = (47.345, -0.0125555)
652: (x,y) = (47.9714, -0.0138231)
653: (x,y) = (48.3956, -0.0160466)
654: (x,y) = (48.2152, 0.0168868)
655: (x,y) = (49.1299, -0.00675706)
Po 656 krokach delikwent osiagnal polozenie:
(x,y) = (50.129, -0.000889588)
 czyli
(m,a) = (50.129, -0.00101677)
Srednia dlugosc kroku pozornego = 0.0764161
